Date,sentiment_label,sentiment_score,Net Sentiment Score
2020-03-16,"{'Neutral': 1, 'Negative': 1}",0.9970345497131348,-0.5
2020-03-17,"{'Neutral': 4, 'Negative': 1}",0.9261355757713318,-0.2
2020-03-18,"{'Positive': 4, 'Negative': 1}",0.9166431784629822,0.6
2020-03-19,{'Positive': 2},0.9998114109039307,1.0
2020-03-20,"{'Neutral': 3, 'Positive': 3}",0.9210845828056335,0.5
2020-03-23,"{'Positive': 1, 'Neutral': 1}",0.9999829530715942,0.5
2020-03-24,"{'Neutral': 2, 'Positive': 2, 'Negative': 1}",0.99892258644104,0.2
2020-03-25,"{'Neutral': 1, 'Positive': 1, 'Negative': 1}",0.9729811747868856,0.0
2020-03-26,"{'Neutral': 2, 'Positive': 1}",0.9987875620524088,0.3333333333333333
2020-03-30,{'Negative': 1},0.9999505281448364,-1.0
2020-03-31,"{'Positive': 1, 'Neutral': 1}",0.9988339245319366,0.5
2020-04-01,{'Negative': 1},0.9191626310348512,-1.0
2020-04-02,"{'Positive': 2, 'Negative': 1}",0.9983302553494772,0.3333333333333333
2020-04-03,{'Neutral': 1},0.9999279975891112,0.0
2020-04-06,"{'Positive': 3, 'Neutral': 2, 'Negative': 1}",0.9711787501970927,0.3333333333333333
2020-04-07,{'Positive': 1},0.9999933242797852,1.0
2020-04-08,"{'Positive': 4, 'Neutral': 1}",0.994699490070343,0.8
2020-04-09,{'Neutral': 1},0.99908709526062,0.0
2020-04-13,"{'Negative': 1, 'Positive': 1}",0.9962308406829834,0.0
2020-04-14,"{'Neutral': 2, 'Positive': 1}",0.9886907736460366,0.3333333333333333
2020-04-15,"{'Positive': 2, 'Neutral': 1}",0.8973151246706644,0.6666666666666666
2020-04-16,"{'Neutral': 5, 'Positive': 3}",0.9507546722888947,0.375
2020-04-17,"{'Positive': 2, 'Neutral': 1}",0.9998628099759418,0.6666666666666666
2020-04-20,{'Neutral': 1},0.5484083890914917,0.0
2020-04-21,"{'Positive': 4, 'Neutral': 1}",0.9789892911911011,0.8
2020-04-22,{'Neutral': 1},0.9999797344207764,0.0
2020-04-23,"{'Positive': 1, 'Negative': 1}",0.9632106423377991,0.0
2020-04-24,"{'Neutral': 1, 'Positive': 1}",0.9987320005893707,0.5
2020-04-27,"{'Positive': 2, 'Neutral': 1}",0.8375844160715739,0.6666666666666666
2020-04-29,"{'Positive': 2, 'Neutral': 1}",0.9999997218449911,0.6666666666666666
2020-04-30,"{'Positive': 1, 'Negative': 1, 'Neutral': 1}",0.9728218913078308,0.0
2020-05-04,"{'Positive': 2, 'Neutral': 1}",0.9999833106994629,0.6666666666666666
2020-05-06,{'Positive': 2},0.9999074637889862,1.0
