date,article_count,avg_sentiment,sentiment_std,pos_neg_ratio,sentiment_ma5,sentiment_momentum,relative_volume
2019-11-25,2,0.999996542930603,3.0345730926273612e-06,,0.999996542930603,0.0,1.0
2019-11-26,5,0.9950796127319336,0.006161214954410945,,0.9975380778312684,-0.004916930198669456,1.4285714285714286
2019-11-27,1,0.9999997615814208,0.0,,0.998358639081319,0.004920148849487216,0.375
2019-12-02,6,0.9882576763629913,0.02833376951823894,,0.9958333984017371,-0.011742085218429454,1.7142857142857142
2019-12-03,1,0.9998594522476196,0.0,,0.9966386091709136,0.011601775884628296,0.3333333333333333
2019-12-04,2,0.9958246350288391,0.0059048577700732754,,0.9958042275905609,-0.004034817218780518,0.7058823529411764
2019-12-05,1,0.6681752800941467,0.0,,0.9304233610630035,-0.3276493549346924,0.38888888888888884
2019-12-06,3,0.770974338054657,0.22622333942548445,,0.8846182763576508,0.10279905796051025,1.1428571428571428
2019-12-09,1,0.999271810054779,0.0,,0.8868211030960083,0.22829747200012207,0.40909090909090906
2019-12-10,2,0.9759749174118042,0.033841053368549166,,0.8820441961288452,-0.023296892642974854,0.8333333333333334
2019-12-11,2,0.9999996423721313,5.057621820914761e-07,,0.8828791975975037,0.02402472496032715,0.8461538461538461
2019-12-12,1,1.0,0.0,,0.9492441415786743,3.5762786865234375e-07,0.4444444444444444
2019-12-13,7,0.9998290623937335,0.00023756928579416695,,0.9950150864464895,-0.0001709376062665191,2.676470588235294
2019-12-16,4,0.9994617998600006,0.0009211725854353345,,0.9950530844075338,-0.00036726253373287054,1.4736842105263157
2019-12-17,4,0.9745228439569474,0.028637304320727506,,0.9947626697165625,-0.024938955903053173,1.4285714285714286
2019-12-18,9,0.9401896463500129,0.15695158236557333,,0.9828006705121389,-0.03433319760693454,2.823529411764706
2019-12-19,3,0.8517812093098959,0.254831471603158,,0.953156912374118,-0.08840843704011703,0.9444444444444445
2019-12-20,3,0.9514514406522115,0.078485429638952,,0.9434813880258137,0.09967023134231567,0.9473684210526316
2019-12-23,4,0.9373840987682343,0.12515456418620086,,0.9310658478074604,-0.014067341883977291,1.2459016393442621
2019-12-27,2,0.9953448474407196,0.006426593607789633,,0.9352302485042149,0.05796074867248535,0.6349206349206349
2019-12-30,2,0.9986434280872344,0.0007397193382147012,,0.9469210048516592,0.0032985806465147816,0.6349206349206349
2019-12-31,1,0.9998064637184144,0.0,,0.9765260557333628,0.0011630356311800316,0.3389830508474576
2020-01-02,3,0.9995865225791931,0.0007064755952412654,,0.9861530721187591,-0.00021994113922130243,0.9836065573770493
2020-01-03,2,0.756426215171814,0.3444619781946858,,0.949961495399475,-0.24316030740737915,0.7017543859649122
2020-01-06,1,0.8850691914558411,0.0,,0.9279063642024994,0.1286429762840271,0.3508771929824561
2020-01-07,2,0.999811202287674,4.648797390739836e-05,,0.9281399190425873,0.11474201083183289,0.7017543859649122
2020-01-08,4,0.9817513078451157,0.03633105162758276,,0.9245288878679275,-0.01805989444255829,1.3333333333333333
2020-01-09,2,0.9999452233314514,7.69601453807355e-05,,0.9246006280183792,0.018193915486335754,0.6779661016949152
2020-01-10,2,0.983433187007904,0.02342665139520439,,0.9700020223855972,-0.016512036323547363,0.6666666666666666
2020-01-13,4,0.9993279576301576,0.001156413157871066,,0.9928537756204605,0.01589477062225353,1.2903225806451613
2020-01-14,4,0.935802087187767,0.08713424785233767,,0.9800519526004792,-0.06352587044239055,1.25
2020-01-15,3,0.9993826548258463,0.0009202224889104725,,0.9835782219966254,0.06358056763807929,0.9090909090909092
2020-01-16,3,0.999669353167216,0.0005599325725305064,,0.9835230479637781,0.0002866983413696289,0.9677419354838709
2020-01-17,5,0.9805938243865967,0.022819418216903174,,0.9829551754395167,-0.019075528780619244,1.5873015873015874
2020-01-21,2,0.9920608401298523,0.011227498974817179,,0.9815017519394557,0.011467015743255593,0.6557377049180328
2020-01-23,2,0.991958349943161,0.011372610574240069,,0.9927330044905345,-0.00010249018669128418,0.7407407407407407
2020-01-24,2,0.9643015265464783,0.05041277273454759,,0.9857167788346608,-0.02765682339668274,0.7547169811320755
2020-01-27,1,0.9966843724250792,0.0,,0.9851197826862335,0.03238284587860096,0.3921568627450981
2020-01-28,2,0.9905965328216553,0.0020491797745996287,,0.9871203243732453,-0.006087839603423961,0.8163265306122448
2020-01-29,5,0.967281949520111,0.06974595559039551,,0.9821645462512969,-0.023314583301544234,1.923076923076923
2020-01-30,1,0.9999854564666748,0.0,,0.9837699675559997,0.032703506946563765,0.3921568627450981
2020-01-31,2,0.8659391701221466,0.1895898008592823,,0.9640974962711333,-0.1340462863445282,0.7692307692307692
2020-02-03,1,0.6882328391075134,0.0,,0.9024071896076201,-0.17770633101463318,0.4
2020-02-04,3,0.976896325747172,0.01146777620347075,,0.8996671481927235,0.2886634866396586,1.1764705882352942
2020-02-05,4,0.801819384098053,0.23140694128158465,,0.866574635108312,-0.17507694164911902,1.4814814814814814
2020-02-06,1,0.999962329864502,0.0,,0.8665700097878775,0.19814294576644897,0.37735849056603776
2020-02-07,3,0.7001557350158691,0.2623590420491784,,0.833413322766622,-0.2998065948486328,1.1538461538461537
2020-02-10,6,0.9651545882225037,0.08168846551286207,,0.8887976725896201,0.2649988532066345,2.142857142857143
2020-02-11,5,0.9545150756835937,0.048666868677999665,,0.8843214225769043,-0.010639512538909934,1.694915254237288
2020-02-12,4,0.9999509751796722,6.910625851979535e-05,,0.9239477407932281,0.04543589949607851,1.3559322033898304
